#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByEdgeSampleAndCount 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1595,79,0.000
#EstTriByEdgeSampleAndCount
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
5.499,5.200,19.339,3.643 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
8.429,13.046

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
58613046.655,7.715,12.120
64737753.757,7.878,12.177
54683359.854,7.751,12.887
58191389.260,7.650,12.145
61711427.895,7.928,12.512
64779118.881,7.890,12.793
66198876.693,7.982,12.046
58494288.718,7.920,12.793
62797595.995,8.001,12.620
54577945.506,8.092,12.696
61855538.650,8.008,12.534
56748947.348,7.702,12.224
56735603.759,7.894,12.755
63093823.659,8.216,12.737
55016949.566,7.516,12.309
58973323.543,7.868,11.954
61755461.737,7.895,12.577
65236803.965,8.323,12.148
54870170.093,7.627,12.460
57561571.885,7.564,12.044
61827517.114,8.199,12.578
59360287.609,7.774,11.950
57971220.050,7.918,12.919
60856103.875,8.244,12.386
55928316.657,7.473,12.479
61888897.621,7.939,12.065
56137810.996,7.658,12.644
56603502.233,7.802,12.415
53395703.568,7.165,11.981
57157261.154,7.264,12.202
55125032.632,7.858,12.843
62291873.992,7.887,12.227
56225878.680,7.617,12.563
60786717.215,8.167,12.496
61056257.701,8.291,12.832
62720203.182,7.978,12.063
57904502.108,7.618,12.311
50075818.760,7.527,13.046
62991078.028,8.429,12.730
57640299.056,7.630,12.016
63719637.957,7.721,12.091
62788255.483,7.830,12.588
56971785.275,7.500,12.251
58492954.359,7.861,12.519
60675965.430,7.948,12.450
64464210.193,7.637,11.893
66621868.447,7.994,12.221
58061956.452,7.632,12.186
53687928.156,7.592,12.771
58037937.992,7.435,11.828
51730423.729,7.291,12.468
57412123.694,7.918,12.313
54100245.039,7.558,12.331
54048205.044,7.894,12.823
60126209.586,7.645,12.078
64896542.459,8.115,12.111
56177841.762,7.890,12.700
61497930.479,7.747,12.419
54615307.553,7.685,12.411
59338937.867,8.061,12.599
62652150.881,8.178,12.532
47405766.710,7.011,12.329
55893623.327,7.808,12.142
63778349.747,8.155,12.651
53751977.380,7.290,12.226
56642198.640,7.294,12.356
58136680.547,7.605,12.189
61848866.856,8.063,12.121
60441118.274,7.658,12.130
56361983.282,7.707,12.303
62090385.807,7.971,12.421
62826951.890,8.028,12.703
59030700.974,7.593,12.057
57314715.498,7.770,12.093
49792934.685,7.556,12.697
52946024.637,7.699,12.968
54795445.997,7.149,12.198
55644098.223,8.133,12.736
56013715.624,8.048,12.363
60248970.600,7.837,12.394
55385232.607,7.583,12.476
53358341.521,7.668,12.706
62157103.749,8.240,12.714
62426644.236,7.876,12.158
55736168.984,7.763,12.909
58610377.937,7.714,12.687
56526109.420,7.383,11.794
62700187.799,7.826,12.531
57145251.925,7.891,12.609
54666013.189,7.786,12.472
58524978.971,7.435,11.782
56901064.256,7.893,12.954
64959257.325,8.341,12.591
53030089.245,7.652,12.540
62788255.483,7.800,12.476
55766859.237,7.657,12.793
57712354.434,7.787,12.416
56869039.644,7.541,11.953
61903575.568,7.867,12.068
59400318.374,7.935,12.850
