#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByEdgeSampleAndCount 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3190,159,0.001
#EstTriByEdgeSampleAndCount
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4.342,4.021,13.705,3.034 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
14.451,16.927

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
55235158.648,13.198,16.309
61394697.954,13.604,16.315
63239625.996,14.221,16.534
58161573.241,13.552,16.324
57422801.911,13.786,16.749
60333214.237,14.129,16.563
60569914.438,13.954,16.302
55816574.352,13.487,16.183
59296400.682,14.025,16.677
57680838.468,14.029,16.547
62891576.687,14.329,16.630
56838052.401,13.496,16.256
66118700.549,13.782,16.428
55280498.405,13.963,16.899
59413750.641,14.185,16.575
61890101.472,13.904,16.240
62691548.349,13.981,16.456
60726603.303,14.254,16.651
53549586.515,13.190,16.482
59575773.595,13.885,16.414
58283590.528,13.798,16.510
58580299.230,13.552,16.305
59391080.762,13.810,16.141
61710742.729,13.976,16.285
62017452.848,13.808,16.616
54727753.429,14.063,16.497
58831668.176,13.614,16.249
57860197.211,13.709,16.457
54749756.547,13.516,16.462
57528150.169,13.630,16.354
61626064.065,13.971,16.236
59651784.364,14.149,16.452
52924831.338,13.812,16.691
56511339.448,13.660,16.683
54270355.295,13.430,16.398
66826134.107,14.451,16.250
63747031.215,13.702,16.386
57212105.394,13.857,16.321
65663302.698,14.316,16.248
61440037.710,13.932,16.274
59919822.337,13.590,16.349
58961019.834,13.773,16.601
54441712.905,13.826,16.713
58055558.222,13.700,16.367
64029737.934,14.366,16.388
56290641.515,13.794,16.418
56407991.473,13.596,16.375
60488569.580,13.651,16.352
59437754.041,13.699,16.585
62744889.239,14.150,16.420
61410700.221,14.089,16.001
57140761.954,13.730,16.702
58133569.274,14.094,16.435
54049657.362,13.547,15.911
60052507.802,13.895,16.274
59664452.825,13.895,16.501
55532534.112,13.712,16.536
62307493.939,14.101,16.336
58272922.350,13.940,16.260
58071560.489,14.329,16.384
53345557.610,13.307,16.231
54053657.929,13.353,16.419
56624022.079,13.376,16.498
56616687.707,14.370,16.598
55475192.655,13.573,16.665
54851104.238,13.931,16.759
52540110.167,13.225,16.350
59433086.713,14.218,16.731
62540860.334,14.361,16.298
61621396.737,14.070,16.585
55699891.155,13.909,16.483
65111891.245,14.187,16.441
57080753.452,14.060,16.479
60069843.591,14.052,16.408
61408033.176,13.624,16.435
56005267.752,14.063,16.811
60134519.421,13.911,16.380
55971929.695,13.780,16.865
53289549.675,13.822,16.870
54969787.719,13.526,16.351
58179575.792,13.858,16.485
61041981.317,14.047,16.320
55852579.453,13.823,16.235
56211296.940,13.603,16.041
59020361.575,13.913,16.399
57492811.829,14.110,16.237
55276497.838,14.292,16.927
56105281.921,14.144,16.578
59292400.115,13.935,16.447
56696032.281,13.479,16.330
58868340.038,14.053,16.705
54402373.999,13.608,16.704
60490569.863,14.113,16.483
59676454.525,13.610,16.363
61827425.926,14.150,16.613
59067034.854,14.144,16.480
61027312.572,13.988,16.257
59624447.157,13.716,16.637
56918730.498,13.722,16.614
59561104.850,13.935,16.778
