#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,19142,957,0.003
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
5310.805,5193.590,9478.877,1284.567 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.296,1.396

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
3777777777.778,0.292,1.355
3074074074.074,0.293,1.378
3481481481.481,0.295,1.355
3703703703.704,0.293,1.317
2740740740.741,0.291,1.318
3296296296.296,0.289,1.337
3407407407.407,0.291,1.334
3740740740.741,0.294,1.390
3555555555.556,0.293,1.374
3000000000.000,0.289,1.339
2962962962.963,0.295,1.366
2222222222.222,0.289,1.279
3333333333.333,0.291,1.334
3370370370.370,0.292,1.358
2962962962.963,0.292,1.340
2407407407.407,0.294,1.335
2703703703.704,0.293,1.362
3333333333.333,0.291,1.344
2370370370.370,0.294,1.336
2962962962.963,0.296,1.396
3407407407.407,0.291,1.373
2296296296.296,0.292,1.310
1851851851.852,0.295,1.372
4037037037.037,0.292,1.372
3074074074.074,0.275,1.282
3148148148.148,0.290,1.358
2518518518.519,0.293,1.319
3259259259.259,0.292,1.275
2851851851.852,0.293,1.376
2629629629.630,0.293,1.374
4111111111.111,0.293,1.337
2851851851.852,0.289,1.340
4222222222.222,0.284,1.267
3111111111.111,0.292,1.323
3111111111.111,0.287,1.301
5629629629.630,0.288,1.321
3777777777.778,0.288,1.338
4740740740.741,0.292,1.339
4814814814.815,0.290,1.338
2888888888.889,0.291,1.335
3740740740.741,0.288,1.340
2148148148.148,0.294,1.389
3481481481.481,0.293,1.330
2037037037.037,0.293,1.362
3407407407.407,0.292,1.355
2481481481.481,0.294,1.324
3555555555.556,0.291,1.366
2370370370.370,0.295,1.349
2740740740.741,0.291,1.338
2925925925.926,0.291,1.371
3629629629.630,0.292,1.374
4777777777.778,0.290,1.340
2370370370.370,0.289,1.357
3148148148.148,0.294,1.364
3407407407.407,0.287,1.321
2592592592.593,0.290,1.341
3851851851.852,0.292,1.379
3185185185.185,0.289,1.331
2185185185.185,0.288,1.349
2592592592.593,0.295,1.385
3037037037.037,0.290,1.285
3333333333.333,0.295,1.391
2370370370.370,0.294,1.341
3777777777.778,0.293,1.325
2370370370.370,0.295,1.361
4703703703.704,0.290,1.359
4000000000.000,0.292,1.374
3407407407.407,0.294,1.368
2740740740.741,0.292,1.304
2333333333.333,0.296,1.358
2407407407.407,0.293,1.379
2296296296.296,0.293,1.353
3259259259.259,0.289,1.300
2111111111.111,0.294,1.344
2814814814.815,0.289,1.295
2814814814.815,0.294,1.323
4888888888.889,0.294,1.358
3296296296.296,0.291,1.351
3592592592.593,0.294,1.348
2666666666.667,0.290,1.300
2962962962.963,0.291,1.347
2296296296.296,0.294,1.368
3444444444.444,0.290,1.363
3814814814.815,0.290,1.314
3851851851.852,0.290,1.371
1962962962.963,0.293,1.338
3111111111.111,0.290,1.358
3111111111.111,0.290,1.319
5259259259.259,0.284,1.313
4333333333.333,0.294,1.323
2777777777.778,0.293,1.388
2888888888.889,0.290,1.354
3037037037.037,0.294,1.362
2481481481.481,0.293,1.347
4185185185.185,0.288,1.318
2888888888.889,0.290,1.323
2444444444.444,0.293,1.361
2037037037.037,0.289,1.316
3851851851.852,0.291,1.334
3666666666.667,0.291,1.361
