#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1914,95,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
531779.772,441032.512,2016505.770,371364.947 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.030,0.169

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
814814814814.815,0.029,0.154
148148148148.148,0.030,0.165
74074074074.074,0.029,0.164
185185185185.185,0.024,0.126
296296296296.296,0.029,0.155
222222222222.222,0.030,0.163
185185185185.185,0.029,0.161
111111111111.111,0.030,0.165
37037037037.037,0.030,0.167
259259259259.259,0.030,0.169
185185185185.185,0.030,0.165
185185185185.185,0.030,0.166
370370370370.370,0.029,0.156
407407407407.408,0.027,0.142
481481481481.482,0.029,0.161
444444444444.445,0.028,0.150
407407407407.408,0.029,0.159
259259259259.259,0.030,0.167
111111111111.111,0.030,0.163
185185185185.185,0.030,0.161
148148148148.148,0.030,0.166
259259259259.259,0.029,0.162
481481481481.482,0.029,0.158
74074074074.074,0.029,0.153
518518518518.519,0.029,0.159
703703703703.704,0.029,0.160
481481481481.482,0.028,0.150
370370370370.370,0.029,0.160
259259259259.259,0.029,0.155
333333333333.333,0.029,0.157
629629629629.630,0.026,0.143
148148148148.148,0.029,0.160
111111111111.111,0.029,0.157
814814814814.815,0.029,0.154
222222222222.222,0.029,0.166
74074074074.074,0.030,0.166
740740740740.741,0.028,0.149
444444444444.445,0.029,0.159
185185185185.185,0.030,0.166
148148148148.148,0.029,0.157
148148148148.148,0.029,0.159
370370370370.370,0.029,0.157
148148148148.148,0.029,0.159
407407407407.408,0.029,0.155
111111111111.111,0.030,0.169
111111111111.111,0.028,0.160
407407407407.408,0.029,0.157
148148148148.148,0.029,0.163
148148148148.148,0.029,0.160
148148148148.148,0.029,0.163
37037037037.037,0.030,0.168
407407407407.408,0.027,0.147
333333333333.333,0.028,0.150
407407407407.408,0.028,0.152
370370370370.370,0.029,0.160
666666666666.667,0.029,0.155
1148148148148.148,0.028,0.149
222222222222.222,0.030,0.167
148148148148.148,0.030,0.165
259259259259.259,0.030,0.161
74074074074.074,0.030,0.167
222222222222.222,0.030,0.165
259259259259.259,0.029,0.159
185185185185.185,0.030,0.166
296296296296.296,0.029,0.159
1185185185185.186,0.029,0.154
259259259259.259,0.029,0.163
666666666666.667,0.028,0.154
148148148148.148,0.029,0.162
296296296296.296,0.029,0.160
222222222222.222,0.029,0.157
407407407407.408,0.029,0.157
629629629629.630,0.028,0.150
259259259259.259,0.029,0.160
259259259259.259,0.029,0.158
111111111111.111,0.030,0.168
259259259259.259,0.029,0.159
111111111111.111,0.029,0.159
259259259259.259,0.029,0.166
222222222222.222,0.030,0.163
222222222222.222,0.030,0.165
444444444444.445,0.029,0.159
259259259259.259,0.029,0.161
185185185185.185,0.029,0.162
148148148148.148,0.029,0.161
185185185185.185,0.029,0.157
444444444444.445,0.029,0.157
481481481481.482,0.029,0.156
111111111111.111,0.030,0.165
296296296296.296,0.029,0.160
222222222222.222,0.029,0.162
259259259259.259,0.030,0.166
518518518518.519,0.029,0.160
407407407407.408,0.030,0.162
148148148148.148,0.029,0.162
222222222222.222,0.029,0.160
777777777777.778,0.028,0.152
111111111111.111,0.030,0.165
592592592592.593,0.028,0.148
222222222222.222,0.029,0.160
