#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1276,63,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
1622722.230,1063344.449,30627100.139,3213873.891 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.020,0.115

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
625000000000.000,0.019,0.104
375000000000.000,0.020,0.112
250000000000.000,0.020,0.111
625000000000.000,0.019,0.107
500000000000.000,0.020,0.112
1375000000000.000,0.020,0.102
375000000000.000,0.020,0.114
875000000000.000,0.019,0.109
375000000000.000,0.020,0.112
625000000000.000,0.020,0.107
625000000000.000,0.020,0.106
4000000000000.000,0.018,0.085
500000000000.000,0.020,0.109
1875000000000.000,0.019,0.101
750000000000.000,0.019,0.106
375000000000.000,0.020,0.110
2125000000000.000,0.019,0.107
1250000000000.000,0.020,0.110
1000000000000.000,0.019,0.096
250000000000.000,0.019,0.109
0.000,0.020,0.112
625000000000.000,0.020,0.107
625000000000.000,0.019,0.104
375000000000.000,0.020,0.113
750000000000.000,0.019,0.100
625000000000.000,0.020,0.111
500000000000.000,0.020,0.112
625000000000.000,0.020,0.112
1000000000000.000,0.018,0.097
1125000000000.000,0.019,0.102
125000000000.000,0.020,0.113
250000000000.000,0.020,0.113
625000000000.000,0.020,0.111
1500000000000.000,0.018,0.092
1875000000000.000,0.019,0.104
0.000,0.020,0.111
750000000000.000,0.019,0.105
1125000000000.000,0.019,0.107
500000000000.000,0.020,0.109
375000000000.000,0.020,0.110
375000000000.000,0.020,0.115
250000000000.000,0.020,0.107
125000000000.000,0.020,0.113
625000000000.000,0.020,0.109
1250000000000.000,0.020,0.113
125000000000.000,0.019,0.104
2875000000000.000,0.020,0.100
500000000000.000,0.019,0.104
250000000000.000,0.020,0.113
500000000000.000,0.020,0.113
1000000000000.000,0.020,0.110
500000000000.000,0.020,0.111
1250000000000.000,0.019,0.100
17999999999999.996,0.018,0.078
875000000000.000,0.020,0.109
750000000000.000,0.019,0.105
625000000000.000,0.020,0.106
875000000000.000,0.020,0.109
1000000000000.000,0.019,0.102
375000000000.000,0.019,0.101
1250000000000.000,0.020,0.112
0.000,0.020,0.108
500000000000.000,0.018,0.091
625000000000.000,0.020,0.108
1625000000000.000,0.020,0.109
375000000000.000,0.020,0.107
250000000000.000,0.019,0.104
1375000000000.000,0.019,0.103
125000000000.000,0.018,0.096
125000000000.000,0.020,0.115
750000000000.000,0.019,0.107
250000000000.000,0.020,0.111
250000000000.000,0.020,0.115
375000000000.000,0.019,0.110
500000000000.000,0.020,0.109
625000000000.000,0.019,0.111
250000000000.000,0.019,0.105
625000000000.000,0.020,0.106
625000000000.000,0.018,0.097
1875000000000.000,0.019,0.107
5749999999999.999,0.018,0.087
625000000000.000,0.019,0.105
1375000000000.000,0.019,0.098
2375000000000.000,0.019,0.098
1000000000000.000,0.019,0.107
750000000000.000,0.020,0.107
250000000000.000,0.020,0.114
1250000000000.000,0.020,0.105
250000000000.000,0.020,0.107
375000000000.000,0.019,0.110
250000000000.000,0.019,0.108
625000000000.000,0.019,0.104
375000000000.000,0.019,0.111
750000000000.000,0.019,0.104
500000000000.000,0.019,0.105
125000000000.000,0.020,0.109
1250000000000.000,0.019,0.102
125000000000.000,0.019,0.108
250000000000.000,0.020,0.115
500000000000.000,0.020,0.112
