#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,4785,239,0.001
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
93551.172,80564.231,314490.500,52184.770 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.074,0.405

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
99555555555.556,0.073,0.384
90074074074.074,0.071,0.369
18962962962.963,0.073,0.391
56888888888.889,0.073,0.383
47407407407.407,0.070,0.371
97185185185.185,0.073,0.382
82962962962.963,0.072,0.377
49777777777.778,0.073,0.398
49777777777.778,0.073,0.392
30814814814.815,0.074,0.398
56888888888.889,0.074,0.395
66370370370.370,0.072,0.379
80592592592.593,0.074,0.382
82962962962.963,0.073,0.381
21333333333.333,0.074,0.401
132740740740.741,0.072,0.372
61629629629.630,0.073,0.383
109037037037.037,0.070,0.355
23703703703.704,0.074,0.394
99555555555.556,0.072,0.373
35555555555.556,0.074,0.389
47407407407.407,0.074,0.398
26074074074.074,0.073,0.385
30814814814.815,0.074,0.394
54518518518.519,0.072,0.383
35555555555.556,0.074,0.394
23703703703.704,0.074,0.394
59259259259.259,0.072,0.380
78222222222.222,0.072,0.377
52148148148.148,0.073,0.392
56888888888.889,0.074,0.398
49777777777.778,0.072,0.383
23703703703.704,0.073,0.391
78222222222.222,0.073,0.387
47407407407.407,0.074,0.403
30814814814.815,0.073,0.391
45037037037.037,0.073,0.383
35555555555.556,0.074,0.392
68740740740.741,0.073,0.383
104296296296.296,0.069,0.358
30814814814.815,0.074,0.395
149333333333.333,0.072,0.375
35555555555.556,0.073,0.391
66370370370.370,0.071,0.374
49777777777.778,0.074,0.393
37925925925.926,0.074,0.398
184888888888.889,0.073,0.364
49777777777.778,0.072,0.383
49777777777.778,0.073,0.393
21333333333.333,0.073,0.395
71111111111.111,0.074,0.400
33185185185.185,0.074,0.388
80592592592.593,0.073,0.383
85333333333.333,0.073,0.383
16592592592.593,0.074,0.389
47407407407.407,0.074,0.391
85333333333.333,0.073,0.384
52148148148.148,0.070,0.371
28444444444.444,0.073,0.386
54518518518.519,0.074,0.394
40296296296.296,0.074,0.389
23703703703.704,0.073,0.388
56888888888.889,0.074,0.392
35555555555.556,0.074,0.395
37925925925.926,0.074,0.390
71111111111.111,0.073,0.389
80592592592.593,0.070,0.351
59259259259.259,0.073,0.394
35555555555.556,0.071,0.372
11851851851.852,0.073,0.390
68740740740.741,0.073,0.390
66370370370.370,0.073,0.379
37925925925.926,0.074,0.397
45037037037.037,0.074,0.394
56888888888.889,0.073,0.386
35555555555.556,0.073,0.388
18962962962.963,0.074,0.403
45037037037.037,0.072,0.386
42666666666.667,0.073,0.384
116148148148.148,0.074,0.377
144592592592.593,0.071,0.364
28444444444.444,0.074,0.401
30814814814.815,0.073,0.393
28444444444.444,0.074,0.394
78222222222.222,0.073,0.388
37925925925.926,0.074,0.392
42666666666.667,0.072,0.388
42666666666.667,0.071,0.375
54518518518.519,0.074,0.390
37925925925.926,0.072,0.377
40296296296.296,0.074,0.405
33185185185.185,0.074,0.392
30814814814.815,0.074,0.394
78222222222.222,0.072,0.375
30814814814.815,0.074,0.388
28444444444.444,0.072,0.368
45037037037.037,0.074,0.397
28444444444.444,0.074,0.396
21333333333.333,0.074,0.384
82962962962.963,0.074,0.386
