#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,44666,2233,0.007
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
1128.114,1045.916,2251.359,286.093 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.688,2.799

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
591836734.694,0.682,2.750
810495626.822,0.672,2.627
720116618.076,0.686,2.680
615160349.854,0.681,2.653
588921282.799,0.684,2.651
717201166.181,0.680,2.671
1192419825.073,0.679,2.639
807580174.927,0.682,2.701
798833819.242,0.681,2.721
673469387.755,0.684,2.673
798833819.242,0.679,2.674
705539358.601,0.671,2.707
644314868.805,0.680,2.684
760932944.606,0.682,2.613
653061224.490,0.683,2.588
1381924198.251,0.672,2.538
1122448979.592,0.674,2.717
673469387.755,0.684,2.685
481049562.682,0.682,2.627
600583090.379,0.677,2.646
655976676.385,0.678,2.638
629737609.329,0.684,2.732
655976676.385,0.677,2.632
655976676.385,0.679,2.680
679300291.545,0.677,2.695
860058309.038,0.680,2.640
997084548.105,0.678,2.672
609329446.064,0.681,2.583
553935860.058,0.683,2.647
720116618.076,0.680,2.661
740524781.341,0.673,2.607
798833819.242,0.680,2.649
658892128.280,0.681,2.643
606413994.169,0.683,2.613
609329446.064,0.679,2.677
632653061.224,0.679,2.691
758017492.711,0.667,2.689
644314868.805,0.680,2.747
618075801.749,0.680,2.678
734693877.551,0.684,2.613
1107871720.117,0.680,2.644
542274052.478,0.676,2.621
895043731.778,0.679,2.625
769679300.292,0.681,2.661
568513119.534,0.680,2.759
568513119.534,0.683,2.614
1049562682.216,0.678,2.627
565597667.638,0.673,2.654
664723032.070,0.682,2.684
673469387.755,0.685,2.607
702623906.706,0.684,2.663
819241982.507,0.678,2.724
871720116.618,0.675,2.698
798833819.242,0.677,2.614
635568513.120,0.687,2.670
667638483.965,0.681,2.635
1023323615.160,0.684,2.627
638483965.015,0.678,2.767
551020408.163,0.675,2.667
548104956.268,0.680,2.706
758017492.711,0.678,2.693
1244897959.184,0.676,2.621
778425655.977,0.684,2.548
641399416.910,0.669,2.706
513119533.528,0.682,2.657
752186588.921,0.671,2.738
623906705.539,0.678,2.636
606413994.169,0.683,2.653
527696793.003,0.678,2.685
559766763.848,0.682,2.624
851311953.353,0.682,2.640
655976676.385,0.683,2.693
685131195.335,0.681,2.799
731778425.656,0.675,2.668
702623906.706,0.677,2.583
559766763.848,0.681,2.712
717201166.181,0.681,2.656
655976676.385,0.680,2.636
679300291.545,0.680,2.691
545189504.373,0.682,2.619
696793002.915,0.683,2.665
827988338.192,0.678,2.705
492711370.262,0.688,2.630
635568513.120,0.684,2.732
673469387.755,0.679,2.706
647230320.700,0.684,2.647
819241982.507,0.673,2.674
623906705.539,0.671,2.545
658892128.280,0.677,2.612
635568513.120,0.678,2.636
632653061.224,0.679,2.689
1131195335.277,0.671,2.696
638483965.015,0.686,2.714
705539358.601,0.678,2.728
854227405.248,0.680,2.617
711370262.391,0.683,2.708
667638483.965,0.675,2.613
588921282.799,0.679,2.676
775510204.082,0.678,2.684
1151603498.542,0.674,2.700
