#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,4466,223,0.001
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
111267.127,94152.803,808489.832,92570.414 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.070,0.381

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
75801749271.137,0.068,0.362
32069970845.481,0.067,0.363
43731778425.656,0.064,0.338
37900874635.569,0.068,0.358
67055393586.006,0.069,0.373
52478134110.787,0.069,0.371
43731778425.656,0.067,0.355
46647230320.700,0.069,0.369
139941690962.099,0.069,0.352
40816326530.612,0.068,0.365
55393586005.831,0.069,0.365
154518950437.318,0.067,0.350
64139941690.962,0.069,0.369
87463556851.312,0.067,0.354
67055393586.006,0.067,0.357
61224489795.918,0.068,0.358
72886297376.093,0.068,0.362
475218658892.128,0.068,0.336
23323615160.350,0.068,0.352
61224489795.918,0.069,0.361
64139941690.962,0.069,0.363
236151603498.542,0.067,0.349
64139941690.962,0.066,0.346
64139941690.962,0.068,0.361
34985422740.525,0.068,0.368
58309037900.875,0.069,0.365
40816326530.612,0.069,0.361
99125364431.487,0.067,0.348
69970845481.050,0.069,0.370
46647230320.700,0.067,0.365
37900874635.569,0.067,0.354
43731778425.656,0.068,0.357
40816326530.612,0.069,0.372
64139941690.962,0.069,0.373
32069970845.481,0.069,0.377
37900874635.569,0.068,0.361
131195335276.968,0.068,0.362
49562682215.743,0.067,0.347
46647230320.700,0.066,0.347
72886297376.093,0.067,0.359
177842565597.668,0.064,0.332
32069970845.481,0.068,0.353
34985422740.525,0.066,0.348
78717201166.181,0.068,0.355
55393586005.831,0.068,0.358
43731778425.656,0.069,0.365
40816326530.612,0.068,0.363
55393586005.831,0.067,0.353
40816326530.612,0.068,0.371
37900874635.569,0.068,0.359
128279883381.924,0.068,0.360
58309037900.875,0.068,0.362
67055393586.006,0.068,0.361
29154518950.437,0.069,0.365
34985422740.525,0.068,0.367
58309037900.875,0.069,0.364
64139941690.962,0.069,0.371
20408163265.306,0.067,0.356
14577259475.219,0.067,0.359
72886297376.093,0.069,0.367
107871720116.618,0.067,0.346
52478134110.787,0.068,0.359
26239067055.394,0.069,0.362
93294460641.399,0.069,0.361
93294460641.399,0.067,0.352
29154518950.437,0.069,0.371
64139941690.962,0.069,0.370
34985422740.525,0.069,0.371
20408163265.306,0.069,0.372
37900874635.569,0.068,0.366
34985422740.525,0.068,0.362
72886297376.093,0.068,0.363
107871720116.618,0.068,0.366
26239067055.394,0.069,0.373
46647230320.700,0.069,0.367
32069970845.481,0.068,0.366
58309037900.875,0.068,0.355
93294460641.399,0.067,0.353
29154518950.437,0.067,0.358
61224489795.918,0.069,0.381
37900874635.569,0.069,0.364
75801749271.137,0.061,0.321
55393586005.831,0.068,0.357
55393586005.831,0.067,0.358
69970845481.050,0.068,0.362
32069970845.481,0.068,0.361
29154518950.437,0.069,0.380
55393586005.831,0.069,0.371
174927113702.624,0.067,0.346
43731778425.656,0.069,0.368
78717201166.181,0.068,0.360
90379008746.356,0.066,0.349
64139941690.962,0.067,0.355
93294460641.399,0.068,0.361
49562682215.743,0.069,0.360
29154518950.437,0.069,0.373
34985422740.525,0.070,0.381
64139941690.962,0.068,0.358
43731778425.656,0.069,0.377
61224489795.918,0.068,0.365
