#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,638,31,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4713125.799,3402922.238,37433144.614,6148313.312 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.010,0.060

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
6999999999999.999,0.010,0.049
2000000000000.000,0.010,0.056
0.000,0.010,0.051
4999999999999.999,0.009,0.053
4999999999999.999,0.010,0.054
1000000000000.000,0.010,0.056
5999999999999.999,0.010,0.055
1000000000000.000,0.010,0.057
0.000,0.010,0.058
0.000,0.010,0.056
0.000,0.010,0.058
4000000000000.000,0.010,0.055
0.000,0.010,0.060
1000000000000.000,0.010,0.057
4999999999999.999,0.010,0.050
2000000000000.000,0.010,0.052
5999999999999.999,0.010,0.050
2000000000000.000,0.009,0.053
9999999999999.998,0.009,0.048
2000000000000.000,0.009,0.052
6999999999999.999,0.009,0.047
2000000000000.000,0.009,0.051
5999999999999.999,0.007,0.036
5999999999999.999,0.010,0.057
1000000000000.000,0.010,0.053
3000000000000.000,0.010,0.054
0.000,0.010,0.056
1000000000000.000,0.010,0.057
4000000000000.000,0.010,0.056
0.000,0.010,0.055
4000000000000.000,0.010,0.052
4000000000000.000,0.010,0.053
4999999999999.999,0.009,0.051
0.000,0.010,0.060
1000000000000.000,0.010,0.058
3000000000000.000,0.010,0.057
4000000000000.000,0.010,0.056
1000000000000.000,0.010,0.055
1000000000000.000,0.010,0.052
2000000000000.000,0.010,0.056
1000000000000.000,0.010,0.058
9999999999999.998,0.007,0.036
0.000,0.010,0.055
5999999999999.999,0.010,0.052
0.000,0.010,0.056
14999999999999.998,0.010,0.055
1000000000000.000,0.010,0.053
1000000000000.000,0.010,0.054
3000000000000.000,0.010,0.056
3000000000000.000,0.010,0.055
4999999999999.999,0.009,0.048
2000000000000.000,0.010,0.053
0.000,0.010,0.056
0.000,0.010,0.057
2000000000000.000,0.009,0.050
0.000,0.010,0.059
1000000000000.000,0.010,0.056
1000000000000.000,0.010,0.058
0.000,0.010,0.059
1000000000000.000,0.010,0.057
1000000000000.000,0.010,0.058
4999999999999.999,0.010,0.052
3000000000000.000,0.010,0.056
4000000000000.000,0.009,0.050
1000000000000.000,0.009,0.050
3000000000000.000,0.009,0.052
0.000,0.009,0.048
3000000000000.000,0.009,0.045
0.000,0.010,0.058
2000000000000.000,0.010,0.052
18999999999999.996,0.009,0.047
3000000000000.000,0.009,0.050
2000000000000.000,0.009,0.051
0.000,0.010,0.054
7999999999999.999,0.010,0.047
2000000000000.000,0.010,0.056
2000000000000.000,0.009,0.048
0.000,0.010,0.060
1000000000000.000,0.010,0.058
3000000000000.000,0.009,0.050
1000000000000.000,0.010,0.056
1000000000000.000,0.010,0.056
2000000000000.000,0.010,0.057
1000000000000.000,0.010,0.057
2000000000000.000,0.010,0.054
0.000,0.010,0.056
2000000000000.000,0.010,0.056
5999999999999.999,0.010,0.056
21999999999999.996,0.009,0.045
1000000000000.000,0.010,0.056
3000000000000.000,0.010,0.053
1000000000000.000,0.009,0.053
1000000000000.000,0.010,0.058
1000000000000.000,0.009,0.046
0.000,0.010,0.056
1000000000000.000,0.009,0.051
1000000000000.000,0.009,0.053
1000000000000.000,0.010,0.057
1000000000000.000,0.010,0.057
1000000000000.000,0.010,0.055
