#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3190,159,0.001
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
189924.762,149632.978,1116091.294,154997.648 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.050,0.276

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
80000000000.000,0.048,0.260
152000000000.000,0.049,0.264
88000000000.000,0.049,0.267
64000000000.000,0.049,0.267
104000000000.000,0.048,0.262
96000000000.000,0.049,0.269
64000000000.000,0.049,0.262
40000000000.000,0.049,0.269
80000000000.000,0.049,0.266
96000000000.000,0.049,0.262
160000000000.000,0.047,0.249
112000000000.000,0.049,0.261
224000000000.000,0.049,0.268
152000000000.000,0.048,0.260
88000000000.000,0.049,0.262
120000000000.000,0.047,0.250
328000000000.000,0.041,0.203
40000000000.000,0.050,0.272
40000000000.000,0.049,0.267
112000000000.000,0.049,0.261
48000000000.000,0.049,0.269
152000000000.000,0.048,0.255
656000000000.000,0.038,0.188
88000000000.000,0.048,0.256
72000000000.000,0.048,0.259
152000000000.000,0.048,0.259
160000000000.000,0.049,0.269
168000000000.000,0.048,0.256
80000000000.000,0.049,0.265
64000000000.000,0.049,0.263
80000000000.000,0.049,0.272
136000000000.000,0.049,0.264
96000000000.000,0.049,0.268
64000000000.000,0.049,0.264
72000000000.000,0.049,0.272
64000000000.000,0.049,0.270
72000000000.000,0.048,0.262
128000000000.000,0.048,0.266
64000000000.000,0.048,0.256
80000000000.000,0.049,0.269
48000000000.000,0.049,0.267
128000000000.000,0.049,0.263
96000000000.000,0.050,0.266
160000000000.000,0.048,0.251
48000000000.000,0.049,0.272
88000000000.000,0.049,0.265
88000000000.000,0.049,0.264
96000000000.000,0.049,0.261
232000000000.000,0.048,0.255
80000000000.000,0.046,0.249
64000000000.000,0.049,0.266
128000000000.000,0.049,0.265
112000000000.000,0.049,0.264
80000000000.000,0.047,0.251
144000000000.000,0.049,0.267
96000000000.000,0.049,0.268
112000000000.000,0.049,0.273
72000000000.000,0.050,0.270
168000000000.000,0.049,0.266
48000000000.000,0.049,0.267
72000000000.000,0.049,0.267
48000000000.000,0.049,0.267
104000000000.000,0.048,0.265
16000000000.000,0.050,0.276
160000000000.000,0.048,0.258
568000000000.000,0.048,0.235
144000000000.000,0.048,0.257
168000000000.000,0.049,0.270
8000000000.000,0.049,0.266
32000000000.000,0.049,0.262
48000000000.000,0.048,0.264
104000000000.000,0.049,0.269
56000000000.000,0.049,0.263
80000000000.000,0.049,0.270
32000000000.000,0.049,0.268
64000000000.000,0.050,0.267
136000000000.000,0.049,0.263
48000000000.000,0.050,0.273
80000000000.000,0.049,0.264
152000000000.000,0.048,0.257
24000000000.000,0.048,0.261
136000000000.000,0.049,0.261
80000000000.000,0.049,0.261
128000000000.000,0.048,0.254
40000000000.000,0.049,0.264
112000000000.000,0.049,0.265
64000000000.000,0.049,0.269
112000000000.000,0.048,0.255
56000000000.000,0.050,0.268
120000000000.000,0.049,0.265
256000000000.000,0.049,0.250
88000000000.000,0.049,0.261
144000000000.000,0.047,0.251
40000000000.000,0.049,0.271
160000000000.000,0.048,0.254
320000000000.000,0.048,0.253
48000000000.000,0.049,0.271
56000000000.000,0.049,0.271
136000000000.000,0.050,0.265
104000000000.000,0.049,0.264
