#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,31904,1595,0.005
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
5.531,5.048,17.603,3.938 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
1.030,5.445

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
58586988.221,1.002,5.266
61854008.136,1.014,5.200
51833111.475,0.984,5.284
55013829.983,0.987,5.246
57833475.940,1.008,5.242
63253064.272,1.010,5.137
63014427.049,1.022,5.206
56616322.769,1.004,5.299
58043346.027,1.003,5.247
50903629.659,0.990,5.408
54027813.913,0.995,5.311
58725423.811,1.007,5.246
59714306.595,1.021,5.216
53184533.502,1.004,5.361
64198879.687,1.018,5.158
56143348.393,1.009,5.303
57263699.987,1.000,5.303
55345102.049,0.998,5.300
54159949.400,1.007,5.355
56664623.556,1.004,5.206
66723554.169,1.011,5.042
53204100.487,0.990,5.320
57741307.771,1.007,5.298
56804725.839,1.001,5.300
57628672.602,1.011,5.265
69117026.513,1.020,4.994
57214165.846,1.017,5.351
56877760.363,1.005,5.314
60835024.861,1.018,5.210
53942312.519,1.007,5.434
57277000.203,1.010,5.288
61444701.465,1.013,5.251
59379167.799,1.012,5.206
61950676.378,1.021,5.143
62508152.131,1.016,5.205
57898510.333,1.005,5.267
58317350.493,1.012,5.212
58599021.751,1.007,5.253
54672657.756,1.009,5.329
57723140.808,0.999,5.216
60247081.945,1.004,5.230
61719572.611,1.023,5.253
58758491.016,1.002,5.263
63695804.821,1.021,5.194
63191063.261,1.023,5.155
54958495.748,0.995,5.295
67119927.296,1.028,5.080
61913142.433,1.021,5.207
54784992.920,1.004,5.303
66475483.459,1.020,5.108
62410550.540,1.014,5.160
57077930.292,1.004,5.234
60779290.619,1.009,5.241
51744676.701,1.001,5.380
60810691.131,1.016,5.224
62363183.101,1.015,5.155
57081030.343,1.013,5.308
59189698.044,1.013,5.193
53420604.016,1.000,5.352
57610805.644,1.015,5.317
61489335.525,1.017,5.202
63630937.097,1.013,5.147
53805976.964,0.999,5.397
56856660.019,1.005,5.280
61477435.331,1.016,5.173
60929426.400,1.003,5.140
51665475.410,0.995,5.445
60124013.272,1.019,5.269
66518884.167,1.026,5.131
54337952.301,0.994,5.253
54107648.547,1.016,5.367
63793639.749,1.013,5.145
63549535.770,1.015,5.188
62007043.963,1.011,5.178
62335215.979,1.010,5.247
61359766.747,1.015,5.216
68258845.859,1.030,5.084
57311134.093,1.013,5.322
58990528.132,1.019,5.232
66266713.390,1.018,5.087
55067264.188,0.999,5.291
59196298.152,1.025,5.256
55786509.244,1.004,5.304
59521936.793,1.019,5.220
61664038.373,1.013,5.227
55804376.202,0.996,5.354
56137214.960,0.999,5.278
59331000.347,1.001,5.207
61904742.296,1.010,5.197
59739240.335,0.999,5.175
55446537.036,1.008,5.307
65461800.271,1.021,5.190
64308781.478,1.019,5.231
62278281.717,1.015,5.151
58691756.595,1.010,5.301
56680690.484,1.013,5.370
61631937.850,1.018,5.265
57811842.254,1.007,5.298
58647889.214,1.012,5.243
63688904.709,1.016,5.133
