#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3190,159,0.001
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
15.727,12.021,60.688,13.290 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.108,0.937

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
46583599.625,0.100,0.888
61553720.483,0.100,0.859
56545344.266,0.103,0.895
87283365.671,0.107,0.864
64646491.977,0.102,0.869
54189343.818,0.099,0.873
64763508.555,0.102,0.859
47002325.614,0.097,0.818
44515973.366,0.096,0.864
76954902.410,0.105,0.879
54877441.303,0.097,0.843
50714518.197,0.101,0.902
73611095.350,0.106,0.865
49120292.339,0.099,0.878
64838185.802,0.103,0.875
84667328.384,0.105,0.850
57790854.054,0.101,0.857
41575223.408,0.096,0.857
53885300.744,0.102,0.911
53136194.616,0.098,0.869
44013568.855,0.099,0.872
67680921.873,0.104,0.875
46198211.693,0.100,0.877
72244901.798,0.104,0.870
58652976.193,0.100,0.839
65970346.198,0.100,0.852
52487102.657,0.099,0.882
57009743.392,0.099,0.855
54526058.188,0.099,0.868
35392680.844,0.093,0.840
64872524.000,0.102,0.870
65835993.831,0.104,0.884
39672620.528,0.097,0.870
46239217.502,0.095,0.826
58968687.587,0.104,0.898
48697232.403,0.100,0.891
62883575.554,0.103,0.870
57801855.613,0.101,0.888
60768609.254,0.100,0.856
74176842.168,0.104,0.868
60466233.082,0.098,0.828
55652551.115,0.101,0.874
72636957.342,0.103,0.861
49867398.183,0.100,0.882
41501879.684,0.093,0.828
78651142.721,0.105,0.863
57035747.076,0.100,0.870
57071418.796,0.101,0.869
61972779.852,0.102,0.852
50787195.160,0.101,0.881
54020319.872,0.100,0.888
53102856.559,0.099,0.881
68893093.605,0.104,0.890
36143787.255,0.098,0.871
80391389.266,0.106,0.869
56744039.082,0.101,0.862
63004592.698,0.100,0.874
39371911.259,0.098,0.878
94438379.342,0.108,0.844
49039614.242,0.100,0.873
92206396.464,0.108,0.820
57371461.304,0.100,0.878
56646691.957,0.100,0.878
64512139.610,0.102,0.894
71753832.227,0.104,0.863
53424235.423,0.103,0.900
72640291.147,0.104,0.870
57973879.984,0.099,0.849
52402090.613,0.103,0.906
55955260.667,0.104,0.919
60131852.376,0.100,0.862
62417842.905,0.101,0.839
44873023.950,0.098,0.874
51695657.197,0.098,0.866
57440804.461,0.101,0.866
46982989.541,0.096,0.864
58344265.791,0.101,0.879
59369411.026,0.100,0.870
43482160.236,0.101,0.885
72219231.495,0.104,0.849
67057500.218,0.103,0.858
62216481.045,0.102,0.875
48194494.512,0.102,0.905
56980405.902,0.101,0.874
47666753.078,0.103,0.937
61331689.027,0.103,0.891
77383296.435,0.104,0.846
54557062.581,0.104,0.931
41892935.086,0.096,0.865
58387938.645,0.099,0.851
63107607.293,0.103,0.864
35491028.110,0.094,0.848
61396698.237,0.102,0.895
49685372.395,0.094,0.835
61884767.383,0.101,0.867
85149396.680,0.103,0.810
56971071.246,0.102,0.909
44371952.962,0.098,0.867
61044981.742,0.101,0.870
75258328.718,0.105,0.863
