#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3190,159,0.001
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
16.216,14.665,48.893,12.028 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.106,0.921

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
44418959.621,0.100,0.893
57679504.945,0.102,0.887
61196669.898,0.103,0.886
72393922.910,0.102,0.846
30963053.287,0.090,0.838
53201203.826,0.100,0.885
48162489.977,0.100,0.895
51305935.318,0.099,0.875
53509247.467,0.098,0.863
64046073.581,0.101,0.870
65318920.576,0.101,0.862
36067776.487,0.098,0.880
55602210.650,0.101,0.898
64818182.968,0.102,0.872
51054566.372,0.101,0.884
77880366.856,0.103,0.849
39552270.144,0.095,0.828
44533975.916,0.097,0.862
49431336.405,0.099,0.868
48233166.657,0.102,0.886
47313369.680,0.099,0.886
60162856.769,0.103,0.894
72228232.770,0.103,0.880
53642266.312,0.100,0.860
64751173.475,0.105,0.893
64459798.861,0.102,0.870
58466283.077,0.101,0.886
61764083.619,0.104,0.890
59451089.264,0.102,0.877
61665402.972,0.102,0.889
49403665.818,0.099,0.882
50397473.280,0.094,0.804
59080370.076,0.102,0.891
47525733.100,0.098,0.856
57650167.456,0.100,0.858
86545927.863,0.103,0.829
63269630.247,0.101,0.882
45824492.080,0.101,0.908
40715101.552,0.099,0.888
47889117.915,0.097,0.854
61612062.082,0.102,0.876
59805806.184,0.102,0.899
57924206.280,0.102,0.891
51609311.631,0.096,0.836
40416725.947,0.093,0.820
67832276.650,0.105,0.892
73960144.801,0.104,0.866
57794187.860,0.103,0.892
45094055.264,0.100,0.889
50177108.727,0.101,0.899
55269163.466,0.101,0.882
49213972.277,0.101,0.833
57705842.010,0.101,0.880
57252444.443,0.103,0.921
35097639.045,0.095,0.865
69505847.082,0.102,0.871
40002333.906,0.097,0.877
76803547.634,0.106,0.891
61915105.014,0.099,0.846
57145762.662,0.102,0.888
63895052.186,0.102,0.899
66034355.266,0.103,0.852
70542660.637,0.105,0.893
53354892.266,0.104,0.898
57432136.567,0.102,0.880
79108540.855,0.105,0.868
53558254.410,0.102,0.879
70906045.452,0.105,0.874
61045981.883,0.099,0.816
44113916.405,0.098,0.862
57844194.944,0.102,0.871
46328896.874,0.097,0.801
72981006.084,0.104,0.855
69671537.223,0.101,0.864
44214263.955,0.096,0.861
39607277.937,0.099,0.884
74202179.091,0.100,0.829
48583549.630,0.100,0.880
63954727.307,0.103,0.859
57674170.856,0.101,0.881
65032213.290,0.101,0.851
73792454.377,0.105,0.868
45372761.416,0.099,0.884
48469533.477,0.100,0.864
34326863.180,0.090,0.820
66472083.947,0.101,0.855
58491620.000,0.100,0.876
47241026.098,0.097,0.852
67389880.641,0.102,0.854
70074594.325,0.103,0.860
55110140.937,0.103,0.898
59642449.708,0.097,0.836
65051215.982,0.103,0.882
35082970.300,0.097,0.883
41892268.325,0.100,0.899
55994266.193,0.100,0.881
46379904.100,0.102,0.914
39704958.443,0.101,0.900
30036255.318,0.078,0.721
62973921.687,0.097,0.837
