#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,57428,2871,0.009
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4.428,3.742,13.783,2.995 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
1.835,8.020

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
64584227.021,1.809,7.565
62055221.032,1.811,7.600
55080278.588,1.777,7.896
60207938.879,1.820,7.843
55903150.907,1.791,7.831
60490217.326,1.807,7.705
58664898.188,1.823,7.885
57114487.109,1.803,7.827
55658428.105,1.806,7.915
58315749.213,1.805,7.748
57152802.015,1.800,7.785
58838750.452,1.812,7.745
55402260.832,1.806,7.870
51699881.694,1.801,8.015
63167853.296,1.835,7.661
61037070.473,1.817,7.617
58319804.778,1.813,7.813
59951956.792,1.806,7.708
55286186.483,1.788,7.852
56226910.933,1.801,7.808
55047278.510,1.800,7.811
64349207.946,1.830,7.518
56888116.203,1.809,7.864
53951942.583,1.791,7.948
57516413.987,1.811,7.826
64361041.307,1.832,7.650
63850614.173,1.806,7.632
60219253.721,1.809,7.759
54816315.000,1.786,7.903
57311506.094,1.800,7.792
59551844.733,1.805,7.719
58141748.801,1.809,7.821
54191480.187,1.801,7.947
56749356.615,1.799,7.893
57689321.804,1.820,7.811
60563958.241,1.808,7.712
60590865.712,1.814,7.877
58582657.253,1.814,7.796
60094623.796,1.803,7.732
59326881.237,1.803,7.764
59865567.698,1.821,7.705
60970792.538,1.813,7.654
57370691.420,1.819,7.922
58797694.799,1.817,7.824
54910648.557,1.798,7.858
57710784.818,1.801,7.759
59948419.746,1.819,7.766
64747579.260,1.824,7.616
57148061.263,1.806,7.761
58019804.068,1.796,7.714
55614576.150,1.797,7.890
60550643.395,1.809,7.688
63234390.491,1.816,7.670
56209077.557,1.824,7.822
56846319.807,1.793,7.742
66871899.105,1.826,7.499
60699088.191,1.800,7.732
63228742.329,1.810,7.597
62834704.359,1.818,7.593
60145383.176,1.815,7.713
56506411.595,1.805,7.813
56398559.488,1.807,7.779
63914077.286,1.823,7.579
59850215.810,1.817,7.812
59566104.026,1.805,7.746
54062572.474,1.785,7.905
57601154.928,1.790,7.777
55945299.155,1.797,7.927
54105294.798,1.802,7.945
61214182.003,1.815,7.765
62331351.315,1.820,7.686
53364330.080,1.791,8.020
56338466.753,1.809,7.880
60575013.823,1.813,7.609
59580733.690,1.807,7.748
60053345.921,1.810,7.714
53241126.084,1.792,7.970
62275258.590,1.811,7.615
59921790.054,1.807,7.704
53073996.059,1.797,7.999
63029223.338,1.828,7.568
56133558.860,1.783,7.653
58586286.891,1.802,7.729
60727791.962,1.807,7.655
63679798.953,1.828,7.642
59525233.559,1.807,7.848
55276630.905,1.786,7.799
62246962.227,1.815,7.650
55209112.226,1.790,7.939
56848449.442,1.815,7.806
57584284.518,1.802,7.765
59743474.816,1.823,7.735
61510904.928,1.817,7.735
59440955.582,1.815,7.833
54830648.367,1.788,7.875
59152954.899,1.803,7.750
59290658.929,1.786,7.750
56741986.227,1.805,7.856
55003704.333,1.812,7.917
53690386.408,1.784,7.916
