#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,12761,638,0.002
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
8.054,6.267,33.452,6.583 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.419,2.851

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
60584835.863,0.409,2.749
62274359.500,0.407,2.692
58998318.748,0.401,2.718
69924260.512,0.414,2.637
58665714.356,0.409,2.790
63368928.802,0.408,2.668
64445330.286,0.412,2.688
57144034.679,0.397,2.695
61724074.659,0.396,2.643
55543433.339,0.391,2.629
56499577.209,0.396,2.707
48482402.944,0.403,2.851
55456094.476,0.405,2.725
58338360.297,0.405,2.717
54441696.917,0.408,2.816
53717817.752,0.403,2.745
62155435.304,0.408,2.703
64647343.076,0.414,2.675
68075310.114,0.406,2.602
60126390.170,0.407,2.700
60717594.268,0.407,2.743
60557084.106,0.408,2.705
57261208.765,0.409,2.767
54970063.703,0.395,2.660
52777174.863,0.400,2.763
62525875.424,0.405,2.696
55351921.213,0.402,2.770
63447267.095,0.405,2.653
58561957.787,0.398,2.684
72157485.239,0.415,2.616
61639735.986,0.411,2.746
61853166.166,0.408,2.686
60373405.810,0.404,2.703
59091908.007,0.405,2.711
49319539.280,0.400,2.764
55188160.845,0.407,2.787
53538139.709,0.403,2.759
68860943.189,0.409,2.638
54951645.870,0.403,2.742
78431549.142,0.419,2.545
59578855.504,0.404,2.667
60971777.028,0.409,2.726
58624461.744,0.405,2.705
52681002.107,0.402,2.761
52022627.089,0.400,2.718
62911816.527,0.416,2.665
51802279.805,0.400,2.763
56770677.707,0.405,2.756
61002862.330,0.410,2.757
55731778.597,0.398,2.740
64776434.583,0.411,2.673
55706193.644,0.392,2.697
67789792.037,0.415,2.666
63969800.178,0.414,2.703
60484162.822,0.405,2.708
61080033.883,0.406,2.643
61972923.748,0.410,2.660
52669418.040,0.394,2.682
71985391.010,0.413,2.574
52638332.739,0.386,2.672
61516228.166,0.410,2.696
62437786.514,0.405,2.664
39335990.515,0.385,2.769
67720704.329,0.410,2.656
51738109.075,0.398,2.753
65303217.936,0.406,2.605
57853662.942,0.403,2.695
55088071.175,0.402,2.690
68273739.344,0.410,2.670
53599310.249,0.406,2.789
72316828.661,0.417,2.618
60739679.000,0.409,2.713
54893058.828,0.403,2.770
58355278.034,0.408,2.721
55823951.099,0.401,2.696
46833131.855,0.394,2.748
60925190.746,0.408,2.675
52467405.250,0.406,2.814
61018613.327,0.407,2.646
49381459.867,0.402,2.788
56831848.247,0.404,2.710
62373949.139,0.409,2.677
58447283.860,0.404,2.704
52249974.817,0.401,2.756
58338943.667,0.399,2.698
56792595.761,0.401,2.713
52254641.779,0.402,2.757
58305524.884,0.406,2.713
55751779.863,0.397,2.720
65755079.878,0.412,2.636
54806636.689,0.407,2.773
53251038.198,0.400,2.746
59089574.526,0.401,2.697
49854739.832,0.396,2.714
54179096.957,0.406,2.793
57775658.003,0.409,2.743
65266382.270,0.408,2.654
48746502.999,0.385,2.688
57719654.457,0.408,2.759
64989198.054,0.412,2.645
