#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,51047,2552,0.008
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4.100,3.459,12.695,2.990 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
1.636,7.407

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
55683753.072,1.606,7.316
56839237.490,1.596,7.268
57345760.626,1.605,7.145
59178748.123,1.609,7.227
54916645.419,1.616,7.341
66172634.075,1.618,7.012
57339239.763,1.608,7.288
56273151.584,1.584,7.141
53348096.624,1.587,7.382
56330735.179,1.592,7.270
57209572.507,1.601,7.291
59324852.954,1.615,7.100
57476636.220,1.597,7.195
60862526.609,1.610,7.072
61463362.673,1.607,7.121
58430328.055,1.606,7.199
58847038.282,1.617,7.239
60618462.999,1.605,7.096
57113822.072,1.604,7.316
60486170.732,1.611,7.173
56952863.007,1.594,7.192
57381739.956,1.611,7.188
61267070.114,1.627,7.161
51619067.932,1.574,7.356
56455694.080,1.612,7.290
57415302.608,1.606,7.209
61208507.348,1.618,7.050
63481267.677,1.619,7.108
60041127.042,1.601,7.235
60583337.840,1.616,7.185
55528877.368,1.612,7.310
59244873.423,1.614,7.238
60741901.060,1.596,7.143
55843024.629,1.606,7.224
61231674.120,1.623,7.071
60732567.685,1.614,7.158
57320260.510,1.594,7.266
58515745.110,1.600,7.150
61825322.651,1.624,7.112
57851992.093,1.600,7.201
60344024.252,1.603,7.132
56594028.042,1.612,7.342
51310233.195,1.571,7.321
56152755.204,1.604,7.191
62841764.771,1.633,7.015
60078543.879,1.608,7.083
61475675.229,1.613,7.184
59451624.363,1.610,7.165
65956466.426,1.624,6.941
60579796.157,1.623,7.158
54659623.418,1.598,7.274
55234292.696,1.614,7.353
59242269.245,1.610,7.167
56196734.570,1.595,7.292
58817663.148,1.608,7.185
58566432.840,1.606,7.194
55116000.492,1.603,7.407
61267445.116,1.610,7.136
54571727.185,1.604,7.397
57581678.364,1.593,7.203
55407418.483,1.597,7.300
54367788.758,1.590,7.186
54682165.187,1.611,7.403
60804047.176,1.625,7.197
63493851.068,1.617,7.033
59686125.429,1.607,7.093
57870825.512,1.607,7.207
64951920.194,1.636,7.067
57078530.244,1.619,7.271
59423770.070,1.611,7.222
51955631.962,1.592,7.290
61411612.437,1.625,7.159
58738454.455,1.617,7.193
58797058.888,1.606,7.243
52472238.476,1.594,7.360
61997594.267,1.619,7.134
56061921.457,1.602,7.260
62627076.295,1.603,7.072
60929589.413,1.611,7.071
60448858.062,1.616,7.124
56836341.644,1.613,7.343
60468628.985,1.587,7.071
56864445.938,1.607,7.315
58017805.347,1.612,7.272
56371881.200,1.604,7.234
58268910.654,1.589,7.183
60104835.665,1.601,7.124
58603224.674,1.601,7.217
57034446.711,1.614,7.268
57199301.627,1.594,7.184
61149527.913,1.611,7.122
56248172.304,1.612,7.330
58196597.826,1.601,7.119
54547935.410,1.591,7.349
58205847.868,1.608,7.263
63205995.593,1.633,7.058
59261581.833,1.618,7.222
63155453.696,1.636,7.103
62406075.290,1.625,7.102
56697403.512,1.604,7.315
