#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,25523,1276,0.004
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
6.399,5.285,21.616,4.615 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.831,4.682

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
57390010.080,0.802,4.491
60988305.256,0.819,4.475
62795098.862,0.808,4.417
53915634.561,0.803,4.591
55665093.450,0.801,4.522
56048144.361,0.796,4.510
63901542.232,0.827,4.420
55965309.029,0.811,4.566
61882243.498,0.815,4.467
60821676.235,0.811,4.508
58470744.496,0.806,4.494
64152173.281,0.811,4.380
63485490.525,0.817,4.442
60997597.147,0.812,4.402
61711864.386,0.800,4.397
52035005.839,0.793,4.597
54474773.055,0.801,4.571
55682218.863,0.802,4.532
66609482.587,0.820,4.376
57936314.931,0.814,4.536
61829867.234,0.815,4.376
68183853.917,0.831,4.356
56418569.968,0.804,4.457
50312714.273,0.799,4.675
58287823.415,0.802,4.470
60910011.700,0.814,4.485
67496420.660,0.819,4.348
63531574.970,0.810,4.474
65111154.759,0.821,4.410
57529555.114,0.807,4.536
55381628.275,0.794,4.491
61290312.545,0.812,4.430
59554978.997,0.791,4.382
54853782.203,0.796,4.596
59241304.760,0.802,4.399
57782852.894,0.810,4.586
65694752.177,0.821,4.379
48900180.182,0.802,4.682
50795892.601,0.791,4.599
62139624.709,0.812,4.444
46067028.472,0.787,4.677
56631283.435,0.804,4.514
57998774.772,0.818,4.510
66961949.427,0.814,4.317
61728073.110,0.811,4.388
59248971.612,0.805,4.555
62659470.589,0.811,4.456
60049074.255,0.814,4.522
64177882.235,0.818,4.378
61213727.363,0.816,4.485
54579108.907,0.805,4.607
60194827.773,0.806,4.389
67859137.747,0.813,4.268
60875969.212,0.816,4.494
53365204.610,0.786,4.507
54008428.467,0.802,4.602
54337644.746,0.792,4.521
55644676.290,0.808,4.558
56516155.656,0.807,4.450
63179691.478,0.815,4.421
59237888.011,0.806,4.536
57115336.784,0.811,4.554
61640445.995,0.812,4.387
59922487.867,0.805,4.438
48566963.807,0.796,4.659
62607552.669,0.807,4.418
55639967.843,0.795,4.511
53544333.933,0.793,4.493
56480863.138,0.804,4.566
58598039.235,0.804,4.458
53087156.233,0.800,4.562
66078344.769,0.810,4.339
57759268.992,0.805,4.494
56726077.389,0.801,4.515
64612851.066,0.817,4.369
57735893.428,0.809,4.499
52964361.602,0.799,4.559
53263827.163,0.799,4.644
60163618.686,0.807,4.455
50595262.759,0.795,4.650
58692916.525,0.809,4.424
60415624.768,0.812,4.540
55094829.687,0.800,4.568
49412317.542,0.796,4.650
57999733.129,0.801,4.470
60534669.308,0.805,4.442
61338522.042,0.819,4.518
57361509.392,0.813,4.547
61821158.690,0.813,4.369
58184362.584,0.800,4.453
57214964.189,0.802,4.544
60284746.610,0.804,4.454
65641500.892,0.817,4.440
62348338.080,0.804,4.367
62401089.353,0.821,4.376
59133427.156,0.811,4.468
64175840.519,0.817,4.428
60857427.098,0.817,4.515
64504681.789,0.813,4.368
66022260.082,0.816,4.382
