#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1595,79,0.000
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
23.622,20.920,85.117,17.783 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.054,0.501

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
73225707.418,0.052,0.464
39495595.448,0.048,0.419
41179167.298,0.048,0.450
51591309.081,0.049,0.464
68895093.888,0.052,0.465
72314244.955,0.051,0.460
91433620.316,0.052,0.453
82971088.073,0.053,0.462
40537743.092,0.050,0.473
55164481.969,0.050,0.461
75438020.843,0.051,0.457
51794004.464,0.050,0.466
50987890.260,0.049,0.457
57922205.996,0.049,0.458
35406349.447,0.049,0.459
70884709.096,0.052,0.464
62536193.006,0.052,0.483
52201395.513,0.051,0.476
108795413.342,0.054,0.447
66252719.536,0.052,0.471
58242918.099,0.049,0.441
32089212.833,0.047,0.442
41729911.990,0.049,0.467
38163406.713,0.049,0.462
38110732.584,0.050,0.488
79107874.094,0.052,0.465
48784244.730,0.052,0.501
39138878.245,0.049,0.460
53835627.039,0.049,0.460
51932024.018,0.049,0.471
22019119.508,0.050,0.467
37413300.444,0.048,0.453
71863514.433,0.053,0.488
63630348.018,0.050,0.461
57770184.459,0.051,0.474
61822758.598,0.049,0.445
68086312.639,0.051,0.478
37816690.927,0.044,0.416
46791295.717,0.047,0.442
26013685.429,0.048,0.463
21809089.753,0.048,0.458
89712709.843,0.052,0.466
59517098.616,0.049,0.474
54459715.456,0.050,0.472
19234725.036,0.047,0.454
53004842.673,0.049,0.461
41095822.157,0.049,0.459
43708859.019,0.050,0.471
49350324.928,0.050,0.475
45039714.232,0.048,0.445
58262920.933,0.050,0.469
39540268.444,0.051,0.467
51048565.522,0.051,0.491
74492553.562,0.052,0.457
90788195.544,0.052,0.465
63381646.117,0.052,0.463
43464824.446,0.048,0.457
47785436.559,0.049,0.452
70675346.102,0.051,0.464
67312869.730,0.049,0.449
65808656.624,0.051,0.464
80365385.582,0.051,0.443
60589250.510,0.050,0.464
71833510.182,0.052,0.472
52472100.532,0.050,0.469
43150113.194,0.049,0.475
61600727.142,0.052,0.487
73705108.670,0.052,0.470
49723044.399,0.049,0.442
62457515.192,0.049,0.465
38006717.848,0.051,0.488
34546227.591,0.048,0.445
54185676.632,0.050,0.455
62512856.366,0.050,0.474
72902328.271,0.052,0.474
30595667.905,0.046,0.370
45119058.806,0.051,0.474
60240534.440,0.052,0.481
23836043.584,0.050,0.474
62157472.685,0.051,0.481
48042806.355,0.046,0.424
63610345.184,0.053,0.480
44597651.604,0.049,0.473
60141187.032,0.051,0.483
56367319.045,0.052,0.480
46476584.464,0.049,0.459
100683597.452,0.053,0.458
34943617.224,0.049,0.458
71132077.475,0.052,0.486
35960427.945,0.050,0.474
50985889.976,0.050,0.476
76234800.391,0.053,0.463
48315511.656,0.047,0.440
37804689.226,0.050,0.474
55444521.643,0.050,0.475
57528816.930,0.050,0.466
48288841.211,0.050,0.476
52958169.394,0.050,0.478
56912729.648,0.050,0.471
41157164.181,0.051,0.482
