#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,12444,622,0.000
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
19.502,13.710,100.000,21.609 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.086,0.999

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
593694405.193,0.084,0.968
609244860.848,0.085,0.983
610985698.546,0.084,0.975
604152348.080,0.083,0.969
650639131.299,0.085,0.984
618987385.275,0.084,0.986
621027807.057,0.085,0.977
627390739.677,0.084,0.977
685720052.589,0.085,0.960
609601111.741,0.083,0.948
547473872.641,0.084,0.987
623111978.949,0.084,0.965
709924279.941,0.086,0.961
584119797.854,0.084,0.965
589866478.929,0.085,0.989
0.000,0.000,0.001
623301562.758,0.084,0.981
635588676.898,0.086,0.999
619320719.444,0.084,0.973
545378034.053,0.083,0.988
596233994.893,0.084,0.970
636554512.653,0.085,0.984
576011860.859,0.084,0.988
658732484.925,0.085,0.984
618065716.297,0.083,0.964
0.000,0.000,0.000
578285616.559,0.083,0.980
576403111.840,0.084,0.991
616351962.000,0.084,0.977
688765060.223,0.085,0.973
609759445.471,0.084,0.977
660088738.325,0.085,0.983
675314193.165,0.084,0.960
601355674.401,0.082,0.960
642200360.142,0.085,0.981
547796373.449,0.079,0.934
643972864.586,0.086,0.989
623391146.316,0.083,0.957
582632710.792,0.084,0.982
580043120.966,0.082,0.968
670814181.883,0.085,0.968
678064616.728,0.085,0.955
636670346.277,0.085,0.977
623879064.206,0.085,0.975
649737879.040,0.086,0.981
593931905.788,0.079,0.922
712336785.989,0.084,0.949
626822821.587,0.084,0.966
674261273.859,0.085,0.965
696721330.171,0.085,0.962
588987310.058,0.085,0.991
616812379.821,0.085,0.980
571444349.407,0.084,0.985
662012076.481,0.086,0.988
636817429.979,0.086,0.987
616157794.847,0.084,0.981
634497840.830,0.085,0.982
640667439.631,0.086,0.984
663997081.457,0.086,0.987
653743722.417,0.084,0.961
585076050.251,0.084,0.986
639109935.726,0.085,0.998
0.000,0.000,0.000
581570208.128,0.084,0.984
577961032.412,0.083,0.969
588723976.064,0.082,0.961
618996551.964,0.084,0.987
624813233.215,0.084,0.968
616137378.129,0.085,0.981
616439462.220,0.084,0.979
587068555.247,0.079,0.920
690065063.482,0.085,0.958
609919029.205,0.085,0.984
0.000,0.000,0.001
619771970.575,0.085,0.974
586965221.655,0.084,0.982
705157184.655,0.086,0.971
527877990.176,0.083,0.980
595810243.831,0.084,0.986
666417504.193,0.084,0.964
644573282.758,0.085,0.976
537315930.506,0.082,0.965
594708991.070,0.084,0.986
690045896.768,0.084,0.968
698466334.546,0.085,0.971
590759814.502,0.083,0.975
651703717.302,0.085,0.972
678955035.627,0.081,0.913
609649445.196,0.086,0.990
2541673.039,0.000,0.000
729764746.352,0.086,0.975
654672891.413,0.083,0.953
0.000,0.000,0.001
650082879.905,0.085,0.973
658492900.991,0.084,0.972
651280382.907,0.085,0.971
676632529.804,0.085,0.970
588356058.475,0.084,0.973
523441729.053,0.083,0.991
722699728.638,0.086,0.972
