#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWAndCountPerEdge 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1276,63,0.000
#EstTriByRWAndCountPerEdge
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
37.837,32.138,142.681,28.161 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
5.307,9.347

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
44631323.041,3.058,8.481
69958244.508,3.381,6.715
57491478.307,3.349,7.274
32694631.937,2.382,7.655
23563338.282,2.092,7.983
43151113.335,2.763,8.030
44227932.558,2.703,7.615
50705516.922,3.062,7.281
66752790.382,3.583,7.163
118211747.379,4.919,5.917
126157873.129,5.041,5.816
44409624.966,2.251,6.449
35761733.129,2.711,8.075
58803330.828,3.323,8.181
64684163.981,3.387,7.912
26733787.448,2.316,8.197
48230166.232,2.821,8.305
85285415.950,4.077,7.032
49266979.787,2.838,7.864
142626873.003,5.265,6.295
18852670.909,1.984,7.627
44079578.207,2.878,8.262
75330672.301,3.790,7.509
54754423.875,3.026,7.956
92363085.329,4.362,7.439
106683447.467,4.483,6.927
79031196.564,3.920,7.172
64604152.646,3.797,7.889
95748564.959,4.539,7.736
16282306.759,1.737,7.471
25580290.696,2.011,7.234
20712934.458,1.988,7.781
32111215.950,2.459,8.257
93921639.467,4.293,6.837
92551445.348,3.983,4.960
65615962.658,3.247,6.466
77250944.351,3.687,6.979
54686080.859,3.030,7.978
74517223.724,3.713,7.001
19764466.752,2.233,8.546
52330747.172,3.244,8.224
22658210.050,2.448,8.860
23461657.210,2.590,9.137
72295242.263,4.046,8.370
51595643.028,3.498,9.347
58036555.530,3.052,6.640
29665869.511,2.157,7.908
77117592.125,3.713,6.729
44382954.520,3.096,8.516
79252894.639,3.675,7.231
53395898.075,3.445,8.613
65319253.956,3.712,8.429
34489886.276,2.745,8.669
68904761.925,3.710,7.638
68152988.752,3.750,7.790
48750239.912,2.898,7.906
68169657.781,3.269,5.988
91019561.655,4.205,6.376
130500154.978,5.307,6.516
17980880.734,1.722,7.281
85425435.787,4.114,6.302
67914621.649,3.693,8.159
34728253.379,2.073,6.421
30927714.947,2.519,8.648
100182526.464,4.476,7.333
30042589.549,2.177,7.471
61878766.533,3.179,7.347
53252544.433,3.072,7.468
62278823.210,3.219,6.660
18069226.583,1.895,7.626
61640399.429,3.318,7.954
77659335.542,3.836,6.996
17205770.922,1.933,7.908
38763825.110,2.618,7.815
15005459.197,1.971,8.373
85775485.379,4.393,8.207
11229924.307,1.779,8.031
31246093.386,2.358,7.818
57524816.364,2.774,6.008
28047306.871,2.467,8.368
47796771.498,3.145,7.930
69421501.799,3.434,7.384
10993224.107,1.584,7.390
88729237.179,4.412,7.461
53027512.552,2.889,7.327
57364793.693,3.531,8.694
36048440.414,2.633,8.467
75140645.379,3.976,7.592
84176925.574,3.966,7.753
71738496.721,3.633,6.969
67071168.821,3.549,7.102
90957886.251,4.093,7.089
73952143.668,3.412,6.358
56483002.100,3.567,8.477
21944775.643,1.839,7.447
39330572.069,2.350,7.355
99047365.643,4.023,6.999
39953993.724,2.886,8.157
47621746.702,3.154,8.220
56768042.483,3.127,7.609
