#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWAndCountPerEdge 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,4785,239,0.001
#EstTriByRWAndCountPerEdge
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
19.735,17.206,73.955,14.298 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
13.445,14.765

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
54455538.164,9.603,12.351
73697396.038,11.676,12.910
58482727.993,10.961,13.945
56975088.259,10.070,13.277
53422286.987,10.485,13.918
68442664.686,10.994,13.086
32810170.881,8.606,14.765
72247554.348,11.972,13.733
66779414.834,11.566,13.342
58636559.709,10.665,14.005
82634307.361,12.089,12.193
75244160.602,12.237,13.019
54312376.856,10.204,13.605
42628724.667,9.472,14.092
60092625.804,10.823,13.581
46183748.941,9.782,13.846
102235846.906,13.445,11.809
53625469.339,10.183,13.866
46670141.707,9.992,14.309
65363807.370,11.177,13.502
47318813.595,9.948,14.653
57880294.540,10.268,13.288
77720139.865,11.841,13.326
33596224.273,8.900,14.733
52794066.714,10.714,14.500
71104486.888,11.402,13.096
48235134.885,9.822,14.034
63920634.684,11.174,13.675
62890051.109,10.483,13.655
52230313.490,10.073,13.332
48096864.181,9.878,13.935
50130910.711,10.023,13.763
79639034.908,12.472,13.256
62447229.176,11.172,13.461
17130895.487,6.452,14.665
56698991.452,11.125,14.172
55982295.712,10.592,13.726
49310178.493,10.317,14.264
85037372.169,12.083,11.757
62225373.609,10.912,13.331
61097422.560,11.401,13.317
47609137.614,9.891,14.324
40563556.114,9.459,14.147
80820337.997,12.522,12.940
88737780.753,12.829,12.467
52031132.540,10.027,13.121
65329128.543,11.355,13.550
54094078.092,10.543,13.740
69230051.878,11.338,13.507
65344689.555,10.991,12.820
59557771.602,10.870,13.707
39606331.594,8.929,14.018
73787205.306,11.657,13.324
59147850.094,10.149,12.896
39930000.637,9.363,14.576
67206231.156,11.800,13.927
76225393.540,11.663,12.814
54099413.296,10.579,13.638
49869041.114,10.183,13.897
37853272.475,8.978,14.428
48047068.943,9.730,14.241
59034032.408,10.559,13.073
53600127.120,10.135,13.270
53101730.145,9.881,13.575
38625098.656,8.755,14.354
42681187.507,9.354,13.601
47902129.234,9.649,13.742
64858741.390,11.470,13.713
46876436.263,10.410,14.604
64630661.418,11.513,13.493
74716864.605,12.156,13.355
53066606.719,10.458,13.708
80260586.176,12.921,13.867
49023855.878,9.936,14.003
77647225.410,12.351,13.014
73573797.145,11.980,12.984
48135989.010,9.889,14.313
56687431.843,10.300,13.161
46931566.704,9.458,13.783
35544018.338,8.288,14.272
68300837.179,11.871,13.693
73263466.112,11.815,13.093
53901121.547,10.366,13.593
63777917.977,11.010,13.411
79788865.221,12.709,13.791
48931823.609,9.930,13.935
68883263.617,11.245,13.217
80358398.249,12.448,12.862
43721107.689,9.258,13.998
45024675.870,9.029,13.419
45613326.712,10.083,14.213
64128263.040,11.467,13.601
48965613.234,10.163,14.656
72396940.060,11.908,13.283
66178315.182,11.996,14.199
76970988.301,11.870,12.215
50215384.774,10.663,13.657
55896932.448,9.764,12.570
50351432.477,9.923,14.040
28704286.793,6.691,13.224
