#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRWAndCountPerEdge 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,6222,311,0.000
#EstTriByRWAndCountPerEdge
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
14.491,10.447,100.000,17.451 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
9.069,14.861

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
499497983.244,7.444,13.830
640998356.211,8.058,13.320
543593099.470,7.742,13.522
544044767.327,7.676,13.510
635713342.281,8.165,13.190
491254628.183,7.396,13.621
419679439.525,7.055,13.605
489514623.597,7.288,13.584
643050028.286,8.426,13.954
394526039.892,6.868,14.043
536613081.072,7.640,13.514
775738711.360,8.815,12.576
546883108.142,7.713,13.567
632144999.542,8.308,13.289
542728097.190,7.642,13.272
388466023.919,6.720,13.835
551721454.228,7.733,13.748
393997705.166,6.872,13.749
446441176.730,7.155,13.766
575114849.222,8.102,13.966
442181165.502,7.077,14.036
414392758.924,6.773,13.756
528316392.537,7.908,13.726
511623015.203,7.614,13.919
528293059.142,7.619,13.627
559028140.154,8.036,13.984
656020062.472,8.223,13.124
567123161.491,7.934,14.457
516063026.906,7.847,13.826
650175047.066,8.290,13.336
595579903.164,8.061,13.979
524588049.377,7.588,13.619
577798189.628,7.884,13.961
0.000,0.000,0.000
460654547.527,7.416,13.573
446166176.005,7.419,13.806
570159836.161,7.792,13.278
451719523.976,7.087,13.632
491781296.238,7.704,14.005
549578115.245,7.987,13.689
546849774.721,7.681,14.200
488066286.446,7.498,14.309
659146737.380,8.680,13.935
569068166.617,8.089,13.676
681665130.067,8.510,13.651
617299960.413,8.084,13.514
440809495.220,7.038,13.754
422491113.603,7.037,14.030
501189654.370,7.311,13.562
546396440.193,7.506,13.878
524209715.046,7.546,12.952
576366519.188,7.843,13.313
533493072.848,7.403,13.646
357012607.681,6.642,14.448
503891328.158,7.496,13.516
412709421.153,6.761,13.533
558616472.402,7.861,13.497
475027918.746,7.093,13.537
517928031.822,7.723,14.288
457072871.420,7.378,14.091
589668220.915,7.970,13.809
609554939.999,8.157,13.726
428272795.509,7.151,13.789
524226381.757,7.123,13.276
0.000,0.000,0.000
694726831.162,8.506,13.602
456034535.350,7.436,14.242
482014603.828,7.240,13.337
541946428.463,7.697,13.791
414246091.870,7.046,14.149
520254704.621,7.746,13.894
508429673.453,7.405,13.635
518603033.601,7.504,13.529
575771517.619,7.989,13.484
577339855.087,8.136,13.568
491339628.407,7.594,13.980
628988324.555,8.206,13.325
584046539.431,8.154,13.227
492457964.688,7.812,13.936
663595082.438,8.081,13.009
639620019.245,7.949,13.281
712311877.513,9.069,13.998
561834814.218,7.888,13.507
497291310.761,7.723,14.295
641478357.476,8.594,13.954
624989980.683,8.286,14.355
543404765.640,7.821,13.713
686711810.036,8.287,13.375
494301302.880,7.806,14.861
659515071.684,8.453,13.749
533689740.034,7.923,13.841
492981299.401,7.468,13.578
472581245.630,7.653,14.518
0.000,0.000,0.001
616504958.318,7.934,13.392
544773102.580,7.565,13.875
569224833.697,7.937,14.168
645223367.347,8.408,13.527
495341305.621,7.364,14.090
586656546.310,7.876,13.502
