#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,6222,311,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
376820.121,316381.772,1457456.781,244912.052 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.020,0.167

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
3428678615266.993,0.020,0.160
4558634435142.947,0.019,0.152
1849841072618.694,0.020,0.160
636597647050.681,0.020,0.164
926740051597.408,0.020,0.161
6564723713820.918,0.019,0.155
1805146482568.608,0.020,0.162
1853480103194.816,0.020,0.161
901694396904.688,0.020,0.163
1021526747384.291,0.020,0.163
3161829200696.581,0.020,0.160
4885159167246.367,0.019,0.156
1411442068239.532,0.020,0.161
1021526747384.291,0.020,0.164
3624400248327.585,0.020,0.161
1901668203883.997,0.019,0.161
1826418040294.778,0.020,0.163
2371371900522.436,0.020,0.161
1423871526128.694,0.020,0.163
1563970873322.666,0.020,0.162
2390087015307.993,0.020,0.160
1666446316409.222,0.020,0.163
3925260213651.701,0.020,0.160
1142546883017.343,0.020,0.163
2237432584805.530,0.020,0.160
790457300174.145,0.020,0.161
1199759228003.709,0.020,0.160
1722781541230.006,0.020,0.159
2350871581818.101,0.019,0.157
2059009584321.485,0.020,0.164
643440495100.464,0.020,0.164
643440495100.464,0.020,0.164
2731603426255.722,0.020,0.161
0.000,0.000,0.000
1423871526128.694,0.020,0.162
1276908434230.364,0.020,0.162
1112939108583.305,0.019,0.158
1826418040294.778,0.020,0.160
1425261573078.572,0.020,0.164
1459172538236.970,0.020,0.161
513251661178.012,0.020,0.163
2118262975079.790,0.020,0.161
2839424431274.989,0.020,0.162
1495650183771.558,0.019,0.161
1516036456563.600,0.020,0.167
4215772267595.441,0.020,0.162
1399156858360.305,0.020,0.162
4026622528494.336,0.019,0.153
6171261942261.085,0.019,0.150
1803388793809.376,0.020,0.162
2398069595016.958,0.020,0.162
1415569089221.021,0.020,0.163
3375384054062.319,0.020,0.159
847342642958.271,0.019,0.157
2145563452959.123,0.020,0.159
1041628375420.773,0.020,0.163
1795933574586.694,0.019,0.158
1432239016203.562,0.020,0.161
903453228132.951,0.020,0.163
1286880990200.928,0.020,0.163
2462048741782.974,0.019,0.158
2049669839799.411,0.019,0.159
2583395771969.055,0.019,0.161
2376958632701.087,0.019,0.152
1541253771537.460,0.020,0.163
1551799948575.837,0.020,0.162
639074677924.192,0.020,0.163
4210836737171.708,0.019,0.157
768381616230.239,0.020,0.166
643440495100.464,0.020,0.165
1276908434230.364,0.020,0.163
2887815100725.286,0.019,0.155
2177081245985.677,0.020,0.164
1208071618142.420,0.020,0.161
1943538508743.507,0.020,0.161
1299493259511.098,0.020,0.161
1410069960038.573,0.020,0.164
1736404792045.614,0.020,0.160
1694301779432.888,0.020,0.164
2253625635318.821,0.019,0.154
3210945357369.708,0.020,0.162
2428483776111.931,0.020,0.162
1425261573078.572,0.020,0.163
1736404792045.614,0.020,0.159
4836806402595.074,0.018,0.143
4642821712572.176,0.020,0.159
897317247297.273,0.020,0.164
1985871539137.303,0.020,0.161
2425712109293.484,0.020,0.158
1444913624560.344,0.020,0.159
2316385782361.671,0.020,0.162
508784312131.020,0.020,0.166
3368477788553.664,0.019,0.153
1407331074511.375,0.020,0.162
774388481256.815,0.020,0.164
2492236132406.887,0.019,0.152
1033524982065.941,0.020,0.164
2596449272355.630,0.020,0.162
7997012160236.172,0.020,0.161
1048788480030.973,0.020,0.162
