#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,9333,466,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
162786.566,139299.616,650614.868,98371.859 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.030,0.243

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
820313795133.106,0.029,0.229
1120976863962.427,0.029,0.233
984543306601.887,0.029,0.237
696459323823.286,0.030,0.238
755168939510.703,0.029,0.237
820001704620.629,0.029,0.237
612658336044.337,0.030,0.239
1498471463909.098,0.029,0.232
645479347066.598,0.030,0.241
537822218707.852,0.030,0.239
503326657044.159,0.030,0.238
747922882234.901,0.029,0.231
1080559254285.300,0.030,0.238
1890323148675.623,0.029,0.233
858487567445.229,0.029,0.237
1447184604912.498,0.028,0.223
614254145973.256,0.030,0.237
2782552925419.811,0.029,0.231
456519691699.859,0.030,0.242
423382419025.315,0.029,0.233
1843820848484.785,0.029,0.229
377243050104.107,0.030,0.235
627222360481.464,0.029,0.237
465216025321.683,0.030,0.237
689653458352.987,0.029,0.233
319224861571.507,0.029,0.236
1338100686099.054,0.029,0.237
3570203769567.425,0.028,0.220
570279623531.124,0.030,0.239
1157742058162.821,0.030,0.240
1105329098417.077,0.028,0.228
550260351119.666,0.029,0.238
1538636605840.373,0.030,0.237
1029697687383.605,0.026,0.207
1061784929255.571,0.029,0.230
707941716911.025,0.029,0.235
1043658988955.889,0.029,0.234
1248709189011.242,0.029,0.234
498108625468.787,0.030,0.240
2295592840014.192,0.029,0.233
917197656585.363,0.030,0.239
418476384058.204,0.030,0.240
777139384862.943,0.029,0.230
1204951415346.023,0.030,0.237
1014576216071.634,0.029,0.238
650526512936.203,0.030,0.239
654346471857.065,0.030,0.238
1501010468180.030,0.029,0.232
626192595256.214,0.029,0.230
970466428969.010,0.030,0.238
1118503909078.742,0.024,0.193
936531891758.431,0.029,0.235
1060520815942.996,0.029,0.235
785056183848.752,0.029,0.232
502015342054.189,0.030,0.237
606330088462.822,0.030,0.240
451522418361.350,0.030,0.243
978931093725.848,0.030,0.240
1203427044411.965,0.029,0.234
1325885976181.054,0.029,0.236
1304211887539.623,0.029,0.233
464912491604.427,0.030,0.239
688792778403.039,0.030,0.239
764828129636.361,0.030,0.241
413628175786.427,0.030,0.243
691943649506.194,0.029,0.234
693288800671.929,0.030,0.242
1353000757388.271,0.028,0.224
694192697299.613,0.030,0.238
1081263813655.177,0.030,0.236
988429657282.732,0.029,0.236
595010353584.844,0.029,0.237
957596988819.896,0.029,0.232
1186895244009.298,0.029,0.236
442423927804.220,0.029,0.238
713975456671.713,0.029,0.229
1040220624750.502,0.029,0.234
440383767985.239,0.029,0.235
1005340858824.623,0.030,0.238
1035432242735.384,0.029,0.234
621910407920.528,0.030,0.238
849010842652.736,0.030,0.234
534789991133.698,0.029,0.234
442423927804.220,0.029,0.235
1126476515588.823,0.030,0.239
613455549133.800,0.030,0.239
568066380377.060,0.030,0.242
2269488993614.550,0.030,0.236
226199485780.319,0.030,0.242
1976015845587.982,0.029,0.235
1133928105300.920,0.030,0.240
311361858491.118,0.030,0.238
778404646227.795,0.030,0.236
0.000,0.000,0.001
455927961777.825,0.030,0.241
497784898036.024,0.030,0.239
565864575156.161,0.030,0.240
494883935736.010,0.030,0.241
0.000,0.000,0.000
306727774566.900,0.030,0.240
