#Filename = graphs/graph_in_edges_format/soc-twitter-konect.edges , Algo name = EstTriByRWandWghtedSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
41652230,2405026092,34824916864
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1803769,90188,0.001
#EstTriByRWandWghtedSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
1.287,0.976,4.003,1.008 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.079,2.893

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
35319296990.701,0.079,2.885
35527282164.299,0.079,2.884
34912750582.877,0.079,2.885
34902998267.541,0.079,2.884
35078001144.075,0.079,2.888
34102546487.134,0.079,2.888
34708193937.215,0.079,2.890
35298975023.446,0.079,2.885
35525020067.254,0.079,2.882
34595236318.593,0.079,2.886
34080939819.683,0.079,2.888
34959858730.682,0.079,2.883
34429528725.051,0.079,2.885
35192661603.560,0.079,2.883
34275598080.391,0.079,2.883
34608508001.613,0.079,2.889
35318090298.233,0.079,2.885
34988254479.737,0.079,2.885
34598326178.011,0.079,2.888
33898063168.375,0.079,2.888
35329369635.405,0.079,2.890
33802457702.431,0.079,2.884
34924572939.802,0.079,2.888
35749295749.664,0.079,2.883
35070263284.964,0.079,2.882
34806115346.373,0.079,2.886
34423055885.898,0.079,2.888
35046820081.719,0.079,2.885
33917148052.436,0.079,2.887
34909183408.447,0.079,2.883
34798391561.800,0.079,2.886
34517013795.743,0.079,2.884
33932636613.323,0.079,2.887
34374702176.584,0.079,2.887
35138777606.920,0.079,2.886
35201183680.398,0.079,2.884
34973365876.602,0.079,2.883
35055357512.119,0.079,2.888
34832038988.553,0.079,2.883
34560275649.029,0.079,2.883
34494753856.934,0.079,2.884
34214564466.010,0.079,2.886
34768558582.549,0.079,2.881
34740396340.375,0.079,2.885
34743640975.407,0.079,2.883
35220125173.089,0.079,2.886
34587736270.877,0.079,2.887
36127491685.106,0.079,2.884
33789546623.603,0.079,2.893
33794811915.450,0.079,2.891
34482099302.108,0.079,2.889
34999434464.311,0.079,2.888
35038129519.746,0.079,2.884
34785081782.724,0.079,2.883
34532051788.660,0.079,2.884
34931346126.116,0.079,2.887
35638783453.564,0.079,2.883
34514384451.069,0.079,2.886
34424226558.390,0.079,2.886
34790346933.341,0.079,2.888
35108925524.145,0.079,2.883
34688198609.379,0.079,2.882
34740751852.233,0.079,2.885
33921674529.330,0.079,2.890
34681926786.597,0.079,2.888
35162164371.028,0.079,2.886
35039810655.882,0.079,2.886
34342988782.353,0.079,2.888
34248234593.240,0.079,2.885
36192511247.241,0.079,2.884
34900720058.399,0.079,2.887
35632256151.273,0.079,2.885
33863713283.262,0.079,2.888
33906917225.928,0.079,2.888
34503725310.941,0.079,2.885
33430993397.999,0.079,2.888
35744231091.328,0.079,2.886
34131734304.668,0.079,2.890
34797338386.811,0.079,2.884
34214262920.041,0.079,2.887
34550098238.240,0.079,2.883
34550499526.084,0.079,2.887
35204994918.742,0.079,2.883
34976032907.625,0.079,2.887
34049751433.076,0.079,2.887
34742260423.782,0.079,2.888
35020265624.517,0.079,2.884
34330078634.913,0.079,2.887
34007602078.759,0.079,2.889
34920750057.592,0.079,2.888
33939732268.553,0.079,2.887
34204866918.030,0.079,2.887
34369909788.716,0.079,2.889
35164679162.673,0.079,2.886
33746211999.763,0.079,2.888
33879618648.195,0.079,2.890
34903934382.124,0.079,2.886
35713529383.072,0.079,2.886
36033036974.592,0.079,2.886
34941095167.393,0.079,2.886
